id,year,month,amount
202107,2021,7,11.24
202106,2021,6,9.65
202105,2021,5,10.15
202104,2021,4,9.81
202103,2021,3,9.13
202102,2021,2,5.82
202101,2021,1,6.86
202012,2020,12,9.03
202011,2020,11,8.89
202010,2020,10,10.09
202009,2020,9,9.26
202008,2020,8,8.95
202007,2020,7,6.86
202006,2020,6,5.31
202005,2020,5,4.69
202004,2020,4,1.7
202003,2020,3,6.6
202002,2020,2,8.25
202001,2020,1,48.98
201912,2019,12,73
201911,2019,11,84.48
201910,2019,10,87.02
201909,2019,9,77.12
201908,2019,8,71.03
201907,2019,7,70.65
201906,2019,6,74.9
201905,2019,5,77.72
201904,2019,4,82.67
201903,2019,3,82.51
201902,2019,2,55.17
201901,2019,1,60.95
201812,2018,12,71.37
201811,2018,11,84.72
201810,2018,10,87.46
201809,2018,9,78.3
201808,2018,8,71.59
201807,2018,7,71.51
201806,2018,6,73.14
201805,2018,5,80.44
201804,2018,4,82.02
201803,2018,3,82.37
201802,2018,2,47.06
201801,2018,1,63.74
201712,2017,12,71.41
201711,2017,11,80.12
201710,2017,10,82.37
201709,2017,9,76.18
201708,2017,8,71.54
201707,2017,7,69.82
201706,2017,6,71.78
201705,2017,5,77.19
201704,2017,4,80.42
201703,2017,3,78.7
201702,2017,2,57.18
201701,2017,1,56.29
201612,2016,12,68.69
201611,2016,11,76.09
201610,2016,10,84.55
201609,2016,9,74.03
201608,2016,8,71.85
201607,2016,7,70.03
201606,2016,6,69.25
201605,2016,5,76.1
201604,2016,4,77.26
201603,2016,3,75.56
201602,2016,2,50.61
201601,2016,1,60.34
201512,2015,12,63.27
201511,2015,11,73.3
201510,2015,10,76.52
201509,2015,9,67.82
201508,2015,8,63.25
201507,2015,7,63.05
201506,2015,6,64.91
201505,2015,5,73.6
201504,2015,4,
201503,2015,3,
201502,2015,2,44.22
201501,2015,1,58.65
201412,2014,12,59.13
201411,2014,11,72.76
201410,2014,10,75.28
201409,2014,9,67.64
201408,2014,8,61.22
201407,2014,7,62.57
201406,2014,6,65.43
201405,2014,5,70
201404,2014,4,75.22
201403,2014,3,73.79
201402,2014,2,56.23
201401,2014,1,52.03
201312,2013,12,58.45
201311,2013,11,69.79
201310,2013,10,75.49
201309,2013,9,66.62
201308,2013,8,60.88
201307,2013,7,61.52
201306,2013,6,60.62
201305,2013,5,60.96
201304,2013,4,66.96
201303,2013,3,70.23
201302,2013,2,49.64
201301,2013,1,56.25
201212,2012,12,56.43
201211,2012,11,68.25
201210,2012,10,71.78
201209,2012,9,67.3
201208,2012,8,65.37
201207,2012,7,65.86
201206,2012,6,68.31
201205,2012,5,71.01
201204,2012,4,75.03
201203,2012,3,73.02
201202,2012,2,61.45
201201,2012,1,56.59
201112,2011,12,61.05
201111,2011,11,74.95
201110,2011,10,77.74
201109,2011,9,74.39
201108,2011,8,69.74
201107,2011,7,69.41
201106,2011,6,69.24
201105,2011,5,70.65
201104,2011,4,70.63
201103,2011,3,68.34
201102,2011,2,57.27
201101,2011,1,54.16
