date,year,quarter,volume
20104,2010,4,73.6
20111,2011,1,72.6
20112,2011,2,78.8
20113,2011,3,80.8
20114,2011,4,76
20121,2012,1,73.9
20122,2012,2,78.2
20123,2012,3,80.5
20124,2012,4,76.4
20131,2013,1,72.5
20132,2013,2,79.6
20133,2013,3,81.2
20134,2013,4,78.6
20141,2014,1,76.2
20142,2014,2,81.7
20143,2014,3,83.6
20144,2014,4,80.7
20151,2015,1,77.5
20152,2015,2,83.7
20153,2015,3,85.3
20154,2015,4,83
20161,2016,1,80.7
20162,2016,2,86
20163,2016,3,87.5
20164,2016,4,84
20171,2017,1,81.9
20172,2017,2,88.2
20173,2017,3,88.8
20174,2017,4,86.3
20181,2018,1,81.9
20182,2018,2,89.8
20183,2018,3,90
20184,2018,4,87.8
20191,2019,1,84.6
20192,2019,2,91.2
20193,2019,3,92.3
20194,2019,4,88.4
20201,2020,1,80.6
20202,2020,2,48.6
20203,2020,3,80.4
20204,2020,4,70.9
20211,2021,1,57.3
