id,year,month,amount
201101,2011,1,12906205
201102,2011,2,11166018
201103,2011,3,13715210
201104,2011,4,13725439
201105,2011,5,14098325
201106,2011,6,15017031
201107,2011,7,16968320
201108,2011,8,16033732
201109,2011,9,13404467
201110,2011,10,13336395
201111,2011,11,12289245
201112,2011,12,13734159
201201,2012,1,13441718
201202,2012,2,11942221
201203,2012,3,14670996
201204,2012,4,14286844
201205,2012,5,14536926
201206,2012,6,15906101
201207,2012,7,17362586
201208,2012,8,16966380
201209,2012,9,14009304
201210,2012,10,13595634
201211,2012,11,12917225
201212,2012,12,14287175
201301,2013,1,13970077
201302,2013,2,12230963
201303,2013,3,15447435
201304,2013,4,14507038
201305,2013,5,15516063
201306,2013,6,16487702
201307,2013,7,17954910
201308,2013,8,17786357
201309,2013,9,14408817
201310,2013,10,14374254
201311,2013,11,13258104
201312,2013,12,15182616
201401,2014,1,14834839
201402,2014,2,12594333
201403,2014,3,15863292
201404,2014,4,15573244
201405,2014,5,16344361
201406,2014,6,17425549
201407,2014,7,18987634
201408,2014,8,18838286
201409,2014,9,15029372
201410,2014,10,15165113
201411,2014,11,13848315
201412,2014,12,15995940
201501,2015,1,15716321
201502,2015,2,13555010
201503,2015,3,16581544
201504,2015,4,16257431
201505,2015,5,17390513
201506,2015,6,18557063
201507,2015,7,20633494
201508,2015,8,20272613
201509,2015,9,16348705
201510,2015,10,16430329
201511,2015,11,15037881
201512,2015,12,17103860
201601,2016,1,16762801
201602,2016,2,14640472
201603,2016,3,17631356
201604,2016,4,16854138
201605,2016,5,18158040
201606,2016,6,19707819
201607,2016,7,21831504
201608,2016,8,20991004
201609,2016,9,17357329
201610,2016,10,17187553
201611,2016,11,15885356
201612,2016,12,18274647
201701,2017,1,17794996
201702,2017,2,14978088
201703,2017,3,18179540
201704,2017,4,18982970
201705,2017,5,19172100
201706,2017,6,21023022
201707,2017,7,23141936
201708,2017,8,22418056
201709,2017,9,17741175
201710,2017,10,17978848
201711,2017,11,16742381
201712,2017,12,18788975
201801,2018,1,18181502
201802,2018,2,15947990
201803,2018,3,19992021
201804,2018,4,19381762
201805,2018,5,20421623
201806,2018,6,22403997
201807,2018,7,24098529
201808,2018,8,23141862
201809,2018,9,18899117
201810,2018,10,18656504
201811,2018,11,17902568
201812,2018,12,19624052
201901,2019,1,19030423
201902,2019,2,16416783
201903,2019,3,20494153
201904,2019,4,20264599
201905,2019,5,21241483
201906,2019,6,22981519
201907,2019,7,24154504
201908,2019,8,23472128
201909,2019,9,19119122
201910,2019,10,19140048
201911,2019,11,17793847
201912,2019,12,19887403
202001,2020,1,19215976
202002,2020,2,16094637
202003,2020,3,9122239
202004,2020,4,436515
202005,2020,5,397858
202006,2020,6,828748
202007,2020,7,1895181
202008,2020,8,2325836
202009,2020,9,2315080
202010,2020,10,2996484
202011,2020,11,3574157
202012,2020,12,4802117
202101,2021,1,6245192.2
202102,2021,2,4281173.442
202103,2021,3,6777823.577
202104,2021,4,13197158
202105,2021,5,10458493.25
202106,2021,6,12843936.5
