,delta,end,intercept,maxL,mu,r2,region,start,tau
0,0.0,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
1,0.1,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
2,0.2,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
3,0.3,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
4,0.4,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
5,0.5,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
6,0.6,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
7,0.7,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
8,0.8,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
9,0.9,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
10,1.0,202128.0,-2.0363574485229012,17.0,0.0,0.14099866178067555,uklog,202030.0,-0.13530593611421293
11,0.0,202128.0,-2.4085603905446233,27.0,0.01,0.08371549777433396,uklog,202030.0,-0.09196802883299125
12,0.1,202128.0,-2.393825908994934,26.0,0.01,0.09259702847234363,uklog,202030.0,-0.0952675017823816
13,0.2,202128.0,-2.3547747105367876,26.0,0.01,0.10393156951121907,uklog,202030.0,-0.097101935205249
14,0.3,202128.0,-2.321495517266441,25.0,0.01,0.11625484590492952,uklog,202030.0,-0.101447173108098
15,0.4,202128.0,-2.2802681806641742,24.0,0.01,0.12795187778406159,uklog,202030.0,-0.10630333359252483
16,0.5,202128.0,-2.2332068322598118,23.0,0.01,0.13657862335556692,uklog,202030.0,-0.11142706285026228
17,0.6,202128.0,-2.1888153375521213,21.0,0.01,0.13991257893928932,uklog,202030.0,-0.12073974814579111
18,0.7,202128.0,-2.1180176951350362,20.0,0.01,0.13732846495751216,uklog,202030.0,-0.12741384904577338
19,0.8,202128.0,-2.0549734725961963,19.0,0.01,0.12736067812430296,uklog,202030.0,-0.13297722930214867
20,0.9,202128.0,-1.9570251019907374,17.0,0.01,0.12358745650062597,uklog,202030.0,-0.14724027680047339
21,1.0,202128.0,-2.0363574485229012,17.0,0.01,0.14099866178067555,uklog,202030.0,-0.13530593611421293
22,0.0,202128.0,-2.4386299236757836,36.0,0.05,0.07481631191651528,uklog,202030.0,-0.08933112221701658
23,0.1,202128.0,-2.401190908119956,34.0,0.05,0.08881891360908534,uklog,202030.0,-0.09225672658740458
24,0.2,202128.0,-2.36590539714471,32.0,0.05,0.10261614485286896,uklog,202030.0,-0.09533120857196432
25,0.3,202128.0,-2.33490890209295,30.0,0.05,0.11581509642550525,uklog,202030.0,-0.0986080207486012
26,0.4,202128.0,-2.333390448393522,27.0,0.05,0.12826936138335032,uklog,202030.0,-0.10345489389825217
27,0.5,202128.0,-2.277765151364863,25.0,0.05,0.14174127827818594,uklog,202030.0,-0.10942227837885657
28,0.6,202128.0,-2.2047667308591694,23.0,0.05,0.1481375570412612,uklog,202030.0,-0.11696454911931145
29,0.7,202128.0,-2.137986111045973,21.0,0.05,0.1399008502636283,uklog,202030.0,-0.12491892538459262
30,0.8,202128.0,-2.093225332392083,20.0,0.05,0.12590526061043805,uklog,202030.0,-0.12709568107576807
31,0.9,202128.0,-1.9785141282378902,17.0,0.05,0.12268412140456153,uklog,202030.0,-0.14666017140512388
32,1.0,202128.0,-2.0363574485229012,17.0,0.05,0.14099866178067555,uklog,202030.0,-0.13530593611421293
33,0.0,202128.0,-2.4333121185941065,38.0,0.1,0.07490435941957063,uklog,202030.0,-0.09066814151632861
34,0.1,202128.0,-2.3986113935121884,35.0,0.1,0.08867409868649756,uklog,202030.0,-0.09430165870312772
35,0.2,202128.0,-2.3560331295686394,33.0,0.1,0.10313042137718409,uklog,202030.0,-0.09704749168664155
36,0.3,202128.0,-2.3181387535039515,31.0,0.1,0.11573159483391315,uklog,202030.0,-0.09998403530054871
37,0.4,202128.0,-2.313266713726545,28.0,0.1,0.12981934799126038,uklog,202030.0,-0.10427789905096278
38,0.5,202128.0,-2.2816848277586566,25.0,0.1,0.14403518995098497,uklog,202030.0,-0.1112415712887842
39,0.6,202128.0,-2.203174650925103,23.0,0.1,0.15007621065434984,uklog,202030.0,-0.11866083575817069
40,0.7,202128.0,-2.133778208060007,22.0,0.1,0.13948964567677813,uklog,202030.0,-0.12188249322257329
41,0.8,202128.0,-2.0984929534850227,20.0,0.1,0.1251233534250492,uklog,202030.0,-0.12757531899157368
42,0.9,202128.0,-1.985234269307636,17.0,0.1,0.12230708505711374,uklog,202030.0,-0.14641289609530556
43,1.0,202128.0,-2.0363574485229012,17.0,0.1,0.14099866178067555,uklog,202030.0,-0.13530593611421293
44,0.0,202128.0,-2.361520223580291,44.0,0.5,0.08378534141362748,uklog,202030.0,-0.09617431123778929
45,0.1,202128.0,-2.3962347058665774,38.0,0.5,0.08532798493336646,uklog,202030.0,-0.09714394720663787
46,0.2,202128.0,-2.342347825217738,35.0,0.5,0.10227788417906702,uklog,202030.0,-0.10097873180171536
47,0.3,202128.0,-2.313069074239467,32.0,0.5,0.11563778017200776,uklog,202030.0,-0.1043969396032979
48,0.4,202128.0,-2.293101772291142,29.0,0.5,0.131711623219401,uklog,202030.0,-0.1080031469552943
49,0.5,202128.0,-2.2404286146197094,26.0,0.5,0.15122315050199953,uklog,202030.0,-0.1146183052938468
50,0.6,202128.0,-2.1668503690257173,24.0,0.5,0.15265655346551754,uklog,202030.0,-0.1201278237059852
51,0.7,202128.0,-2.128401741717346,22.0,0.5,0.1391696988908201,uklog,202030.0,-0.12415087831965807
52,0.8,202128.0,-2.10472673653406,20.0,0.5,0.12357304257018775,uklog,202030.0,-0.1279778641753317
53,0.9,202128.0,-1.9926522276337548,17.0,0.5,0.12173207097075778,uklog,202030.0,-0.146141058519568
54,1.0,202128.0,-2.0363574485229012,17.0,0.5,0.14099866178067555,uklog,202030.0,-0.13530593611421293
