,delta,end,intercept,maxL,mu,r2,region,start,tau
0,0.0,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
1,0.1,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
2,0.2,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
3,0.3,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
4,0.4,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
5,0.5,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
6,0.6,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
7,0.7,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
8,0.8,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
9,0.9,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
10,1.0,202128.0,-0.7808601798708588,13.0,0.0,-0.1239479397170773,usa,202014.0,-0.29822694531531035
11,0.0,202128.0,-1.0989414293952802,27.0,0.01,-0.11683237468426633,usa,202014.0,-0.14745699030420475
12,0.1,202128.0,-1.097608050625821,27.0,0.01,-0.11680055789984789,usa,202014.0,-0.14754229656411438
13,0.2,202128.0,-1.0932858670091792,26.0,0.01,-0.11729007047618922,usa,202014.0,-0.15227457526299393
14,0.3,202128.0,-1.08477397325414,25.0,0.01,-0.11861508161744627,usa,202014.0,-0.1576163595962006
15,0.4,202128.0,-1.0700114694476108,24.0,0.01,-0.12018387774826822,usa,202014.0,-0.16374807627736293
16,0.5,202128.0,-1.0539757425497016,22.0,0.01,-0.12115305926004583,usa,202014.0,-0.17690179951879204
17,0.6,202128.0,-1.0273599225171213,20.0,0.01,-0.11867840470272983,usa,202014.0,-0.19355306337422928
18,0.7,202128.0,-0.9805476025603004,18.0,0.01,-0.10876404015718566,usa,202014.0,-0.21552341817366516
19,0.8,202128.0,-0.9112640694988663,15.0,0.01,-0.09710091930664899,usa,202014.0,-0.259275515786264
20,0.9,202128.0,-0.8324183813878778,14.0,0.01,-0.10822549775558277,usa,202014.0,-0.2806860132327646
21,1.0,202128.0,-0.7808601798708588,13.0,0.01,-0.1239479397170773,usa,202014.0,-0.29822694531531035
22,0.0,202128.0,-1.19198162707779,35.0,0.05,-0.0879148059339534,usa,202014.0,-0.1317828601447232
23,0.1,202128.0,-1.1703037878736424,34.0,0.05,-0.09114807449154871,usa,202014.0,-0.1342039891494325
24,0.2,202128.0,-1.156329970226105,32.0,0.05,-0.09650939665175584,usa,202014.0,-0.13913847560993933
25,0.3,202128.0,-1.1294016512454126,31.0,0.05,-0.10351087164162687,usa,202014.0,-0.14225531555233342
26,0.4,202128.0,-1.1093418691056933,29.0,0.05,-0.11215179819432453,usa,202014.0,-0.14864266579919838
27,0.5,202128.0,-1.0849083249610094,27.0,0.05,-0.1208453181002691,usa,202014.0,-0.1563668554144865
28,0.6,202128.0,-1.0685257694479475,21.0,0.05,-0.1151418019345547,usa,202014.0,-0.19057697581586922
29,0.7,202128.0,-0.9910411449371801,17.0,0.05,-0.09357815417963211,usa,202014.0,-0.2330430106218391
30,0.8,202128.0,-0.9002222470669059,15.0,0.05,-0.09495577550118606,usa,202014.0,-0.26527874796296524
31,0.9,202128.0,-0.8239941853793185,14.0,0.05,-0.11326326904479789,usa,202014.0,-0.2836139968891646
32,1.0,202128.0,-0.7808601798708588,13.0,0.05,-0.1239479397170773,usa,202014.0,-0.29822694531531035
33,0.0,202128.0,-1.18275553002312,37.0,0.1,-0.0938670787675624,usa,202014.0,-0.13334580013145322
