id,year,week,startdate,enddate,positive_rate
201101,2011,1,2011/1/3,2011/1/9,0.366045914
201102,2011,2,2011/1/10,2011/1/16,0.276574756
201103,2011,3,2011/1/17,2011/1/23,0.1893467
201104,2011,4,2011/1/24,2011/1/30,0.144130639
201105,2011,5,2011/1/31,2011/2/6,0.101315606
201106,2011,6,2011/2/7,2011/2/13,0.092821072
201107,2011,7,2011/2/14,2011/2/20,0.058425346
201108,2011,8,2011/2/21,2011/2/27,0.036796753
201109,2011,9,2011/2/28,2011/3/6,0.02817029
201110,2011,10,2011/3/7,2011/3/13,0.015126812
201111,2011,11,2011/3/14,2011/3/20,0.017300725
201112,2011,12,2011/3/21,2011/3/27,0.008605072
201113,2011,13,2011/3/28,2011/4/3,0.006431159
201114,2011,14,2011/4/4,2011/4/10,0.004257246
201115,2011,15,2011/4/11,2011/4/17,0.002083333
201116,2011,16,2011/4/18,2011/4/24,0.069677026
201117,2011,17,2011/4/25,2011/5/1,0.059820096
201118,2011,18,2011/5/2,2011/5/8,0.053011403
201119,2011,19,2011/5/9,2011/5/15,0.045056067
201120,2011,20,2011/5/16,2011/5/22,0.025442228
201121,2011,21,2011/5/23,2011/5/29,0.0284
201122,2011,22,2011/5/30,2011/6/5,0.022121422
201123,2011,23,2011/6/6,2011/6/12,0.0191
201124,2011,24,2011/6/13,2011/6/19,0.0161
201125,2011,25,2011/6/20,2011/6/26,0.0104
201126,2011,26,2011/6/27,2011/7/3,0.00464
201127,2011,27,2011/7/4,2011/7/10,0.00682
201128,2011,28,2011/7/11,2011/7/17,0.009
201129,2011,29,2011/7/18,2011/7/24,0.00654
201130,2011,30,2011/7/25,2011/7/31,0.00409
201131,2011,31,2011/8/1,2011/8/7,0.006
201132,2011,32,2011/8/8,2011/8/14,0.00792
201133,2011,33,2011/8/15,2011/8/21,0.00712
201134,2011,34,2011/8/22,2011/8/28,0.00633
201135,2011,35,2011/8/29,2011/9/4,0.0112
201136,2011,36,2011/9/5,2011/9/11,0.016
201137,2011,37,2011/9/12,2011/9/18,0.0113
201138,2011,38,2011/9/19,2011/9/25,0.00658
201139,2011,39,2011/9/26,2011/10/2,0.0097
201140,2011,40,2011/10/3,2011/10/9,0
201141,2011,41,2011/10/10,2011/10/16,0
201142,2011,42,2011/10/17,2011/10/23,0
201143,2011,43,2011/10/24,2011/10/30,0
201144,2011,44,2011/10/31,2011/11/6,0
201145,2011,45,2011/11/7,2011/11/13,0
201146,2011,46,2011/11/14,2011/11/20,0
201147,2011,47,2011/11/21,2011/11/27,0
201148,2011,48,2011/11/28,2011/12/4,0.00625
201149,2011,49,2011/12/5,2011/12/11,0.023611111
201150,2011,50,2011/12/12,2011/12/18,0.045138889
201151,2011,51,2011/12/19,2011/12/25,0.109861111
201152,2011,52,2011/12/26,2012/1/1,0.109861111
201201,2012,1,2012/1/2,2012/1/8,0.0475
201202,2012,2,2012/1/9,2012/1/15,0.077361111
201203,2012,3,2012/1/16,2012/1/22,0.105416667
201204,2012,4,2012/1/23,2012/1/29,0.144166667
201205,2012,5,2012/1/30,2012/2/5,0.204166667
201206,2012,6,2012/2/6,2012/2/12,0.329021739
201207,2012,7,2012/2/13,2012/2/19,0.434849034
201208,2012,8,2012/2/20,2012/2/26,0.441280193
201209,2012,9,2012/2/27,2012/3/4,0.411092995
201210,2012,10,2012/3/5,2012/3/11,0.350766908
201211,2012,11,2012/3/12,2012/3/18,0.316413043
201212,2012,12,2012/3/19,2012/3/25,0.271280193
201213,2012,13,2012/3/26,2012/4/1,0.219704106
201214,2012,14,2012/4/2,2012/4/8,0.142336957
201215,2012,15,2012/4/9,2012/4/15,0.112282609
201216,2012,16,2012/4/16,2012/4/22,0.065173193
201217,2012,17,2012/4/23,2012/4/29,0.056409847
201218,2012,18,2012/4/30,2012/5/6,0.048955887
201219,2012,19,2012/5/7,2012/5/13,0.042516141
201220,2012,20,2012/5/14,2012/5/20,0.025826545
201221,2012,21,2012/5/21,2012/5/27,0.0296
201222,2012,22,2012/5/28,2012/6/3,0.025659232
201223,2012,23,2012/6/4,2012/6/10,0.0212
201224,2012,24,2012/6/11,2012/6/17,0.016733882
201225,2012,25,2012/6/18,2012/6/24,0.0114
201226,2012,26,2012/6/25,2012/7/1,0.00604
201227,2012,27,2012/7/2,2012/7/8,0.00772
201228,2012,28,2012/7/9,2012/7/15,0.0094
201229,2012,29,2012/7/16,2012/7/22,0.00699
201230,2012,30,2012/7/23,2012/7/29,0.00457
201231,2012,31,2012/7/30,2012/8/5,0.00671
201232,2012,32,2012/8/6,2012/8/12,0.00886
201233,2012,33,2012/8/13,2012/8/19,0.00767
201234,2012,34,2012/8/20,2012/8/26,0.00649
201235,2012,35,2012/8/27,2012/9/2,0.012
201236,2012,36,2012/9/3,2012/9/9,0.017589515
201237,2012,37,2012/9/10,2012/9/16,0.0132
201238,2012,38,2012/9/17,2012/9/23,0.00887
201239,2012,39,2012/9/24,2012/9/30,0.0115
201240,2012,40,2012/10/1,2012/10/7,0.003201835
201241,2012,41,2012/10/8,2012/10/14,0.00640367
201242,2012,42,2012/10/15,2012/10/21,0.009605505
201243,2012,43,2012/10/22,2012/10/28,0.011206422
201244,2012,44,2012/10/29,2012/11/4,0.021879205
201245,2012,45,2012/11/5,2012/11/11,0.011740061
201246,2012,46,2012/11/12,2012/11/18,0.026148318
201247,2012,47,2012/11/19,2012/11/25,0.033619266
201248,2012,48,2012/11/26,2012/12/2,0.036287462
201249,2012,49,2012/12/3,2012/12/9,0.059767584
201250,2012,50,2012/12/10,2012/12/16,0.136611621
201251,2012,51,2012/12/17,2012/12/23,0.204383792
201252,2012,52,2012/12/24,2012/12/30,0.23693578
201301,2013,1,2012/12/31,2013/1/6,0.233200306
201302,2013,2,2013/1/7,2013/1/13,0.172899083
201303,2013,3,2013/1/14,2013/1/20,0.141414373
201304,2013,4,2013/1/21,2013/1/27,0.191576453
201305,2013,5,2013/1/28,2013/2/3,0.232133028
201306,2013,6,2013/2/4,2013/2/10,0.208652905
201307,2013,7,2013/2/11,2013/2/17,0.19958104
201308,2013,8,2013/2/18,2013/2/24,0.229998471
201309,2013,9,2013/2/25,2013/3/3,0.189441896
201310,2013,10,2013/3/4,2013/3/10,0.164894495
201311,2013,11,2013/3/11,2013/3/17,0.189441896
201312,2013,12,2013/3/18,2013/3/24,0.173432722
201313,2013,13,2013/3/25,2013/3/31,0.147818043
201314,2013,14,2013/4/1,2013/4/7,0.119535168
201315,2013,15,2013/4/8,2013/4/14,0.139813456
201316,2013,16,2013/4/15,2013/4/21,0.077911315
201317,2013,17,2013/4/22,2013/4/28,0.048561162
201318,2013,18,2013/4/29,2013/5/5,0.032551988
201319,2013,19,2013/5/6,2013/5/12,0.028816514
201320,2013,20,2013/5/13,2013/5/19,0.003201835
201321,2013,21,2013/5/20,2013/5/26,0.0262
201322,2013,22,2013/5/27,2013/6/2,0.022149859
201323,2013,23,2013/6/3,2013/6/9,0.0188
201324,2013,24,2013/6/10,2013/6/16,0.015413331
201325,2013,25,2013/6/17,2013/6/23,0.0108
201326,2013,26,2013/6/24,2013/6/30,0.00624
201327,2013,27,2013/7/1,2013/7/7,0.00736
201328,2013,28,2013/7/8,2013/7/14,0.00848
201329,2013,29,2013/7/15,2013/7/21,0.00651
201330,2013,30,2013/7/22,2013/7/28,0.00455
201331,2013,31,2013/7/29,2013/8/4,0.00655
201332,2013,32,2013/8/5,2013/8/11,0.00855
201333,2013,33,2013/8/12,2013/8/18,0.00727
201334,2013,34,2013/8/19,2013/8/25,0.00599
201335,2013,35,2013/8/26,2013/9/1,0.0127
201336,2013,36,2013/9/2,2013/9/8,0.019485515
201337,2013,37,2013/9/9,2013/9/15,0.014
201338,2013,38,2013/9/16,2013/9/22,0.00845
201339,2013,39,2013/9/23,2013/9/29,0.0107
201340,2013,40,2013/9/30,2013/10/6,0
201341,2013,41,2013/10/7,2013/10/13,0.001587302
201342,2013,42,2013/10/14,2013/10/20,0.00525394
201343,2013,43,2013/10/21,2013/10/27,0.009817672
201344,2013,44,2013/10/28,2013/11/3,0.013888889
201345,2013,45,2013/11/4,2013/11/10,0.014005602
201346,2013,46,2013/11/11,2013/11/17,0.005649718
201347,2013,47,2013/11/18,2013/11/24,0.008168028
201348,2013,48,2013/11/25,2013/12/1,0.004436557
201349,2013,49,2013/12/2,2013/12/8,0.011009174
201350,2013,50,2013/12/9,2013/12/15,0.017167382
201351,2013,51,2013/12/16,2013/12/22,0.020123839
201352,2013,52,2013/12/23,2013/12/29,0.029776675
201401,2014,1,2013/12/30,2014/1/5,0.042334096
201402,2014,2,2014/1/6,2014/1/12,0.057546145
201403,2014,3,2014/1/13,2014/1/19,0.074525745
201404,2014,4,2014/1/20,2014/1/26,0.077131258
201405,2014,5,2014/1/27,2014/2/2,0.084507042
201406,2014,6,2014/2/3,2014/2/9,0.156962025
201407,2014,7,2014/2/10,2014/2/16,0.177282378
201408,2014,8,2014/2/17,2014/2/23,0.173913043
201409,2014,9,2014/2/24,2014/3/2,0.188861985
201410,2014,10,2014/3/3,2014/3/9,0.161399549
201411,2014,11,2014/3/10,2014/3/16,0.156626506
201412,2014,12,2014/3/17,2014/3/23,0.083627797
201413,2014,13,2014/3/24,2014/3/30,0.098468271
201414,2014,14,2014/3/31,2014/4/6,0.081871345
201415,2014,15,2014/4/7,2014/4/13,0.056320401
201416,2014,16,2014/4/14,2014/4/20,0.052301255
201417,2014,17,2014/4/21,2014/4/27,0.035175879
201418,2014,18,2014/4/28,2014/5/4,0.061976549
201419,2014,19,2014/5/5,2014/5/11,0.033482143
201420,2014,20,2014/5/12,2014/5/18,0.031719533
201421,2014,21,2014/5/19,2014/5/25,0.024270981
201422,2014,22,2014/5/26,2014/6/1,0.01682243
201423,2014,23,2014/6/2,2014/6/8,0.014756393
201424,2014,24,2014/6/9,2014/6/15,0.012690355
201425,2014,25,2014/6/16,2014/6/22,0.0073
201426,2014,26,2014/6/23,2014/6/29,0.001904762
201427,2014,27,2014/6/30,2014/7/6,0.00332
201428,2014,28,2014/7/7,2014/7/13,0.004739336
201429,2014,29,2014/7/14,2014/7/20,0.00456
201430,2014,30,2014/7/21,2014/7/27,0.004385965
201431,2014,31,2014/7/28,2014/8/3,0.00643
201432,2014,32,2014/8/4,2014/8/10,0.008474576
201433,2014,33,2014/8/11,2014/8/17,0.00842
201434,2014,34,2014/8/18,2014/8/24,0.008356546
201435,2014,35,2014/8/25,2014/8/31,0.012465566
201436,2014,36,2014/9/1,2014/9/7,0.016574586
201437,2014,37,2014/9/8,2014/9/14,0.00997
201438,2014,38,2014/9/15,2014/9/21,0.003355705
201439,2014,39,2014/9/22,2014/9/28,0.00334
201440,2014,40,2014/9/29,2014/10/5,0.003333333
201441,2014,41,2014/10/6,2014/10/12,0.002911208
201442,2014,42,2014/10/13,2014/10/19,0.015852048
201443,2014,43,2014/10/20,2014/10/26,0.016348774
201444,2014,44,2014/10/27,2014/11/2,0.014727541
201445,2014,45,2014/11/3,2014/11/9,0.00877193
201446,2014,46,2014/11/10,2014/11/16,0.012359551
201447,2014,47,2014/11/17,2014/11/23,0.053682896
201448,2014,48,2014/11/24,2014/11/30,0.040462428
201449,2014,49,2014/12/1,2014/12/7,0.080808081
201450,2014,50,2014/12/8,2014/12/14,0.153738644
201451,2014,51,2014/12/15,2014/12/21,0.222386953
201452,2014,52,2014/12/22,2014/12/28,0.303703704
201501,2015,1,2014/12/29,2015/1/4,0.316635745
201502,2015,2,2015/1/5,2015/1/11,0.249706228
201503,2015,3,2015/1/12,2015/1/18,0.194001276
201504,2015,4,2015/1/19,2015/1/25,0.168019481
201505,2015,5,2015/1/26,2015/2/1,0.182421227
201506,2015,6,2015/2/2,2015/2/8,0.11758794
201507,2015,7,2015/2/9,2015/2/15,0.150997151
201508,2015,8,2015/2/16,2015/2/22,0.131987578
201509,2015,9,2015/2/23,2015/3/1,0.130975143
201510,2015,10,2015/3/2,2015/3/8,0.104861773
201511,2015,11,2015/3/9,2015/3/15,0.121898598
201512,2015,12,2015/3/16,2015/3/22,0.103291714
201513,2015,13,2015/3/23,2015/3/29,0.104545455
201514,2015,14,2015/3/30,2015/4/5,0.090673575
201515,2015,15,2015/4/6,2015/4/12,0.081148564
201516,2015,16,2015/4/13,2015/4/19,0.05408971
201517,2015,17,2015/4/20,2015/4/26,0.065632458
201518,2015,18,2015/4/27,2015/5/3,0.039671683
201519,2015,19,2015/5/4,2015/5/10,0.05775076
201520,2015,20,2015/5/11,2015/5/17,0.035182679
201521,2015,21,2015/5/18,2015/5/24,0.030889212
201522,2015,22,2015/5/25,2015/5/31,0.026595745
201523,2015,23,2015/6/1,2015/6/7,0.023470016
201524,2015,24,2015/6/8,2015/6/14,0.020344288
201525,2015,25,2015/6/15,2015/6/21,0.014683422
201526,2015,26,2015/6/22,2015/6/28,0.009022556
201527,2015,27,2015/6/29,2015/7/5,0.00859
201528,2015,28,2015/7/6,2015/7/12,0.008156607
201529,2015,29,2015/7/13,2015/7/19,0.00695
201530,2015,30,2015/7/20,2015/7/26,0.005747126
201531,2015,31,2015/7/27,2015/8/2,0.00972
201532,2015,32,2015/8/3,2015/8/9,0.01369863
201533,2015,33,2015/8/10,2015/8/16,0.00916
201534,2015,34,2015/8/17,2015/8/23,0.00462963
201535,2015,35,2015/8/24,2015/8/30,0.00775
201536,2015,36,2015/8/31,2015/9/6,0.010869565
201537,2015,37,2015/9/7,2015/9/13,0.00622
201538,2015,38,2015/9/14,2015/9/20,0.0015625
201539,2015,39,2015/9/21,2015/9/27,0.014722948
201540,2015,40,2015/9/28,2015/10/4,0.027883397
201541,2015,41,2015/10/5,2015/10/11,0.032142857
201542,2015,42,2015/10/12,2015/10/18,0.012360939
201543,2015,43,2015/10/19,2015/10/25,0.00623053
201544,2015,44,2015/10/26,2015/11/1,0.020802377
201545,2015,45,2015/11/2,2015/11/8,0.013468013
201546,2015,46,2015/11/9,2015/11/15,0.009375
201547,2015,47,2015/11/16,2015/11/22,0.020477816
201548,2015,48,2015/11/23,2015/11/29,0.017503805
201549,2015,49,2015/11/30,2015/12/6,0.035217794
201550,2015,50,2015/12/7,2015/12/13,0.036193029
201551,2015,51,2015/12/14,2015/12/20,0.054489164
201552,2015,52,2015/12/21,2015/12/27,0.083253589
201553,2015,53,2015/12/28,2016/1/3,0.110623354
201601,2016,1,2016/1/4,2016/1/10,0.100545124
201602,2016,2,2016/1/11,2016/1/17,0.113207547
201603,2016,3,2016/1/18,2016/1/24,0.139119336
201604,2016,4,2016/1/25,2016/1/31,0.189418681
201605,2016,5,2016/2/1,2016/2/7,0.197953964
201606,2016,6,2016/2/8,2016/2/14,0.195977308
201607,2016,7,2016/2/15,2016/2/21,0.226077224
201608,2016,8,2016/2/22,2016/2/28,0.231552163
201609,2016,9,2016/2/29,2016/3/6,0.245512144
201610,2016,10,2016/3/7,2016/3/13,0.265904573
201611,2016,11,2016/3/14,2016/3/20,0.256741573
201612,2016,12,2016/3/21,2016/3/27,0.25
201613,2016,13,2016/3/28,2016/4/3,0.22967033
201614,2016,14,2016/4/4,2016/4/10,0.176724138
201615,2016,15,2016/4/11,2016/4/17,0.135714286
201616,2016,16,2016/4/18,2016/4/24,0.098909657
201617,2016,17,2016/4/25,2016/5/1,0.093321134
201618,2016,18,2016/5/2,2016/5/8,0.08190091
201619,2016,19,2016/5/9,2016/5/15,0.062714777
201620,2016,20,2016/5/16,2016/5/22,0.031280547
201621,2016,21,2016/5/23,2016/5/29,0.030982906
201622,2016,22,2016/5/30,2016/6/5,0.019379845
201623,2016,23,2016/6/6,2016/6/12,0.017392105
201624,2016,24,2016/6/13,2016/6/19,0.015404365
