id,year,week,startdate,enddate,positive_rate,maskindex
201101,2011,1,2011/1/2,2011/1/8,0,0
201102,2011,2,2011/1/9,2011/1/15,0,0
201103,2011,3,2011/1/16,2011/1/22,0,0
201104,2011,4,2011/1/23,2011/1/29,0,0
201105,2011,5,2011/1/30,2011/2/5,0,0
201106,2011,6,2011/2/6,2011/2/12,0,0
201107,2011,7,2011/2/13,2011/2/19,0,0
201108,2011,8,2011/2/20,2011/2/26,0,0
201109,2011,9,2011/2/27,2011/3/5,0,0
201110,2011,10,2011/3/6,2011/3/12,0,0
201111,2011,11,2011/3/13,2011/3/19,0,0
201112,2011,12,2011/3/20,2011/3/26,0,0
201113,2011,13,2011/3/27,2011/4/2,0,0
201114,2011,14,2011/4/3,2011/4/9,0,0
201115,2011,15,2011/4/10,2011/4/16,0,0
201116,2011,16,2011/4/17,2011/4/23,0,0
201117,2011,17,2011/4/24,2011/4/30,0,0
201118,2011,18,2011/5/1,2011/5/7,0,0
201119,2011,19,2011/5/8,2011/5/14,0,0
201120,2011,20,2011/5/15,2011/5/21,0,0
201121,2011,21,2011/5/22,2011/5/28,0,0
201122,2011,22,2011/5/29,2011/6/4,0,0
201123,2011,23,2011/6/5,2011/6/11,0,0
201124,2011,24,2011/6/12,2011/6/18,0,0
201125,2011,25,2011/6/19,2011/6/25,0,0
201126,2011,26,2011/6/26,2011/7/2,0,0
201127,2011,27,2011/7/3,2011/7/9,0,0
201128,2011,28,2011/7/10,2011/7/16,0,0
201129,2011,29,2011/7/17,2011/7/23,0,0
201130,2011,30,2011/7/24,2011/7/30,0,0
201131,2011,31,2011/7/31,2011/8/6,0,0
201132,2011,32,2011/8/7,2011/8/13,0,0
201133,2011,33,2011/8/14,2011/8/20,0,0
201134,2011,34,2011/8/21,2011/8/27,0,0
201135,2011,35,2011/8/28,2011/9/3,0,0
201136,2011,36,2011/9/4,2011/9/10,0,0
201137,2011,37,2011/9/11,2011/9/17,0,0
201138,2011,38,2011/9/18,2011/9/24,0,0
201139,2011,39,2011/9/25,2011/10/1,0,0
201140,2011,40,2011/10/2,2011/10/8,0.0103383,0
201141,2011,41,2011/10/9,2011/10/15,0.00572979,0
201142,2011,42,2011/10/16,2011/10/22,0.00817518,0
201143,2011,43,2011/10/23,2011/10/29,0.0117365,0
201144,2011,44,2011/10/30,2011/11/5,0.00957055,0
201145,2011,45,2011/11/6,2011/11/12,0.0113269,0
201146,2011,46,2011/11/13,2011/11/19,0.00960699,0
201147,2011,47,2011/11/20,2011/11/26,0.0182571,0
201148,2011,48,2011/11/27,2011/12/3,0.0154209,0
201149,2011,49,2011/12/4,2011/12/10,0.0229299,0
201150,2011,50,2011/12/11,2011/12/17,0.0271097,0
201151,2011,51,2011/12/18,2011/12/24,0.038245,0
201152,2011,52,2011/12/25,2011/12/31,0.0332724,0
201201,2012,1,2012/1/1,2012/1/7,0.0321617,0
201202,2012,2,2012/1/8,2012/1/14,0.0439993,0
201203,2012,3,2012/1/15,2012/1/21,0.059657,0
201204,2012,4,2012/1/22,2012/1/28,0.0809932,0
201205,2012,5,2012/1/29,2012/2/4,0.108783,0
201206,2012,6,2012/2/5,2012/2/11,0.12615,0
201207,2012,7,2012/2/12,2012/2/18,0.148397,0
201208,2012,8,2012/2/19,2012/2/25,0.189968,0
201209,2012,9,2012/2/26,2012/3/3,0.238185,0
201210,2012,10,2012/3/4,2012/3/10,0.28183,0
201211,2012,11,2012/3/11,2012/3/17,0.307187,0
201212,2012,12,2012/3/18,2012/3/24,0.27527,0
201213,2012,13,2012/3/25,2012/3/31,0.21557,0
201214,2012,14,2012/4/1,2012/4/7,0.220762,0
201215,2012,15,2012/4/8,2012/4/14,0.204473,0
201216,2012,16,2012/4/15,2012/4/21,0.206363,0
201217,2012,17,2012/4/22,2012/4/28,0.172691,0
201218,2012,18,2012/4/29,2012/5/5,0.159885,0
201219,2012,19,2012/5/6,2012/5/12,0.151687,0
201220,2012,20,2012/5/13,2012/5/19,0.133298,0
201221,2012,21,2012/5/20,2012/5/26,0.111558,0
201222,2012,22,2012/5/27,2012/6/2,0.109053,0
201223,2012,23,2012/6/3,2012/6/9,0.0959083,0
201224,2012,24,2012/6/10,2012/6/16,0.0997239,0
201225,2012,25,2012/6/17,2012/6/23,0.0676157,0
201226,2012,26,2012/6/24,2012/6/30,0.0674058,0
201227,2012,27,2012/7/1,2012/7/7,0.0472081,0
201228,2012,28,2012/7/8,2012/7/14,0.045809,0
201229,2012,29,2012/7/15,2012/7/21,0.0366667,0
201230,2012,30,2012/7/22,2012/7/28,0.0512695,0
201231,2012,31,2012/7/29,2012/8/4,0.0948635,0
201232,2012,32,2012/8/5,2012/8/11,0.0754141,0
201233,2012,33,2012/8/12,2012/8/18,0.0671731,0
201234,2012,34,2012/8/19,2012/8/25,0.0417745,0
201235,2012,35,2012/8/26,2012/9/1,0.0305899,0
201236,2012,36,2012/9/2,2012/9/8,0.0305422,0
201237,2012,37,2012/9/9,2012/9/15,0.0222561,0
201238,2012,38,2012/9/16,2012/9/22,0.0308483,0
201239,2012,39,2012/9/23,2012/9/29,0.0359002,0
201240,2012,40,2012/9/30,2012/10/6,0.0378905,0
201241,2012,41,2012/10/7,2012/10/13,0.0392755,0
201242,2012,42,2012/10/14,2012/10/20,0.0581063,0
201243,2012,43,2012/10/21,2012/10/27,0.0655861,0
201244,2012,44,2012/10/28,2012/11/3,0.0786164,0
201245,2012,45,2012/11/4,2012/11/10,0.0975799,0
201246,2012,46,2012/11/11,2012/11/17,0.133611,0
201247,2012,47,2012/11/18,2012/11/24,0.184179,0
201248,2012,48,2012/11/25,2012/12/1,0.223829,0
201249,2012,49,2012/12/2,2012/12/8,0.29204,0
201250,2012,50,2012/12/9,2012/12/15,0.326083,0
201251,2012,51,2012/12/16,2012/12/22,0.374527,0
201252,2012,52,2012/12/23,2012/12/29,0.378742,0
201301,2013,1,2012/12/30,2013/1/5,0.352971,0
201302,2013,2,2013/1/6,2013/1/12,0.342063,0
201303,2013,3,2013/1/13,2013/1/19,0.305432,0
201304,2013,4,2013/1/20,2013/1/26,0.295747,0
201305,2013,5,2013/1/27,2013/2/2,0.265221,0
201306,2013,6,2013/2/3,2013/2/9,0.227314,0
201307,2013,7,2013/2/10,2013/2/16,0.208809,0
201308,2013,8,2013/2/17,2013/2/23,0.20037,0
201309,2013,9,2013/2/24,2013/3/2,0.187262,0
201310,2013,10,2013/3/3,2013/3/9,0.179144,0
201311,2013,11,2013/3/10,2013/3/16,0.16916,0
201312,2013,12,2013/3/17,2013/3/23,0.15913,0
201313,2013,13,2013/3/24,2013/3/30,0.144522,0
201314,2013,14,2013/3/31,2013/4/6,0.139339,0
201315,2013,15,2013/4/7,2013/4/13,0.108261,0
201316,2013,16,2013/4/14,2013/4/20,0.0875336,0
201317,2013,17,2013/4/21,2013/4/27,0.0767419,0
201318,2013,18,2013/4/28,2013/5/4,0.065867,0
201319,2013,19,2013/5/5,2013/5/11,0.0541024,0
201320,2013,20,2013/5/12,2013/5/18,0.0446124,0
201321,2013,21,2013/5/19,2013/5/25,0.0436905,0
201322,2013,22,2013/5/26,2013/6/1,0.0420965,0
201323,2013,23,2013/6/2,2013/6/8,0.0385906,0
201324,2013,24,2013/6/9,2013/6/15,0.0393362,0
201325,2013,25,2013/6/16,2013/6/22,0.0399752,0
201326,2013,26,2013/6/23,2013/6/29,0.0323441,0
201327,2013,27,2013/6/30,2013/7/6,0.0325708,0
201328,2013,28,2013/7/7,2013/7/13,0.0376932,0
201329,2013,29,2013/7/14,2013/7/20,0.0295527,0
201330,2013,30,2013/7/21,2013/7/27,0.029361,0
201331,2013,31,2013/7/28,2013/8/3,0.0349157,0
201332,2013,32,2013/8/4,2013/8/10,0.0312751,0
201333,2013,33,2013/8/11,2013/8/17,0.0277778,0
201334,2013,34,2013/8/18,2013/8/24,0.0234375,0
201335,2013,35,2013/8/25,2013/8/31,0.0409182,0
201336,2013,36,2013/9/1,2013/9/7,0.0365311,0
201337,2013,37,2013/9/8,2013/9/14,0.0338701,0
201338,2013,38,2013/9/15,2013/9/21,0.031893,0
201339,2013,39,2013/9/22,2013/9/28,0.0409051,0
201340,2013,40,2013/9/29,2013/10/5,0.0395032,0
201341,2013,41,2013/10/6,2013/10/12,0.0394284,0
201342,2013,42,2013/10/13,2013/10/19,0.0318911,0
201343,2013,43,2013/10/20,2013/10/26,0.0353381,0
201344,2013,44,2013/10/27,2013/11/2,0.0463901,0
201345,2013,45,2013/11/3,2013/11/9,0.0575954,0
201346,2013,46,2013/11/10,2013/11/16,0.0719145,0
201347,2013,47,2013/11/17,2013/11/23,0.0914657,0
201348,2013,48,2013/11/24,2013/11/30,0.120813,0
201349,2013,49,2013/12/1,2013/12/7,0.169043,0
201350,2013,50,2013/12/8,2013/12/14,0.207899,0
201351,2013,51,2013/12/15,2013/12/21,0.282198,0
201352,2013,52,2013/12/22,2013/12/28,0.310706,0
201401,2014,1,2013/12/29,2014/1/4,0.291749,0
201402,2014,2,2014/1/5,2014/1/11,0.27705,0
201403,2014,3,2014/1/12,2014/1/18,0.267735,0
201404,2014,4,2014/1/19,2014/1/25,0.243017,0
201405,2014,5,2014/1/26,2014/2/1,0.204542,0
201406,2014,6,2014/2/2,2014/2/8,0.190612,0
201407,2014,7,2014/2/9,2014/2/15,0.16406,0
201408,2014,8,2014/2/16,2014/2/22,0.136425,0
201409,2014,9,2014/2/23,2014/3/1,0.118806,0
201410,2014,10,2014/3/2,2014/3/8,0.108357,0
201411,2014,11,2014/3/9,2014/3/15,0.110513,0
201412,2014,12,2014/3/16,2014/3/22,0.125365,0
201413,2014,13,2014/3/23,2014/3/29,0.133207,0
201414,2014,14,2014/3/30,2014/4/5,0.145133,0
201415,2014,15,2014/4/6,2014/4/12,0.149603,0
201416,2014,16,2014/4/13,2014/4/19,0.137184,0
201417,2014,17,2014/4/20,2014/4/26,0.130442,0
201418,2014,18,2014/4/27,2014/5/3,0.126513,0
201419,2014,19,2014/5/4,2014/5/10,0.109823,0
201420,2014,20,2014/5/11,2014/5/17,0.103669,0
201421,2014,21,2014/5/18,2014/5/24,0.0842127,0
201422,2014,22,2014/5/25,2014/5/31,0.0889216,0
201423,2014,23,2014/6/1,2014/6/7,0.0721578,0
201424,2014,24,2014/6/8,2014/6/14,0.0710145,0
201425,2014,25,2014/6/15,2014/6/21,0.0588084,0
201426,2014,26,2014/6/22,2014/6/28,0.0506698,0
201427,2014,27,2014/6/29,2014/7/5,0.0502545,0
201428,2014,28,2014/7/6,2014/7/12,0.0500491,0
201429,2014,29,2014/7/13,2014/7/19,0.0379548,0
201430,2014,30,2014/7/20,2014/7/26,0.0374161,0
201431,2014,31,2014/7/27,2014/8/2,0.0364069,0
201432,2014,32,2014/8/3,2014/8/9,0.0295997,0
201433,2014,33,2014/8/10,2014/8/16,0.0342508,0
