date,year,quarter,volume
20104,2010,4,7468.950785
20111,2011,1,6582.07424
20112,2011,2,8461.551987
20113,2011,3,9404.51336
20114,2011,4,7437.835732
20121,2012,1,6646.023036
20122,2012,2,8621.578595
20123,2012,3,9097.765348
20124,2012,4,7855.628813
20131,2013,1,6553.68628
20132,2013,2,9112.52178
20133,2013,3,9873.744066
20134,2013,4,8026.614152
20141,2014,1,7046.809376
20142,2014,2,9836.803186
20143,2014,3,10304.83853
20144,2014,4,8148.272107
20151,2015,1,7536.330672
20152,2015,2,9989.338975
20153,2015,3,10511.7337
20154,2015,4,8754.81554
20161,2016,1,8199.19589
20162,2016,2,10137.99346
20163,2016,3,10891.83965
20164,2016,4,9899.839795
20171,2017,1,8846.686732
20172,2017,2,11011.98117
20173,2017,3,11899.1756
20174,2017,4,9322.370898
20181,2018,1,8546.673122
20182,2018,2,10520.88872
20183,2018,3,11536.31204
20184,2018,4,9679.32875
20191,2019,1,8331.943176
20192,2019,2,10364.26111
20193,2019,3,11864.1279
20194,2019,4,10297.11581
20201,2020,1,6994.217085
20202,2020,2,398.2200144
20203,2020,3,2322.215667
20204,2020,4,1385.854357
20211,2021,1,194.589883
