id,year,month,amount
201012,2010,12,113
201101,2011,1,113.8
201102,2011,2,113.3
201103,2011,3,113.7
201104,2011,4,113.8
201105,2011,5,115
201106,2011,6,114.3
201107,2011,7,115.3
201108,2011,8,112.7
201109,2011,9,114.9
201110,2011,10,115.4
201111,2011,11,115.4
201112,2011,12,115.9
201201,2012,1,115.8
201202,2012,2,116.7
201203,2012,3,116
201204,2012,4,115.5
201205,2012,5,115.2
201206,2012,6,115.3
201207,2012,7,115.2
201208,2012,8,115.6
201209,2012,9,115.9
201210,2012,10,113.9
201211,2012,11,115.5
201212,2012,12,116.3
201301,2013,1,117.5
201302,2013,2,118.3
201303,2013,3,116.2
201304,2013,4,117.3
201305,2013,5,116.7
201306,2013,6,117.7
201307,2013,7,117.2
201308,2013,8,117.7
201309,2013,9,117.4
201310,2013,10,117.8
201311,2013,11,119.4
201312,2013,12,117.7
201401,2014,1,117.7
201402,2014,2,118.9
201403,2014,3,119.9
201404,2014,4,120.1
201405,2014,5,120.5
201406,2014,6,119.4
201407,2014,7,120
201408,2014,8,120.3
201409,2014,9,120.7
201410,2014,10,120.1
201411,2014,11,120.1
201412,2014,12,121
201501,2015,1,120.4
201502,2015,2,120.2
201503,2015,3,121.5
201504,2015,4,121.5
201505,2015,5,121.7
201506,2015,6,122.4
201507,2015,7,124.3
201508,2015,8,123.1
201509,2015,9,123.9
201510,2015,10,124.6
201511,2015,11,123.5
201512,2015,12,124.9
201601,2016,1,124.3
201602,2016,2,124.8
201603,2016,3,123
201604,2016,4,124.3
201605,2016,5,124.7
201606,2016,6,125.1
201607,2016,7,124.4
201608,2016,8,123.9
201609,2016,9,126.4
201610,2016,10,124.1
201611,2016,11,125.3
201612,2016,12,125.9
201701,2017,1,127.1
201702,2017,2,126
201703,2017,3,125.3
201704,2017,4,127.2
201705,2017,5,126.8
201706,2017,6,126.7
201707,2017,7,127.2
201708,2017,8,127.2
201709,2017,9,125.7
201710,2017,10,128.1
201711,2017,11,128.4
201712,2017,12,128.2
201801,2018,1,128.4
201802,2018,2,130.4
201803,2018,3,128.9
201804,2018,4,129.9
201805,2018,5,130.5
201806,2018,6,131.5
201807,2018,7,131.4
201808,2018,8,131.1
201809,2018,9,130.5
201810,2018,10,132.2
201811,2018,11,131.3
201812,2018,12,131.7
201901,2019,1,131.4
201902,2019,2,132.3
201903,2019,3,134.2
201904,2019,4,134.3
201905,2019,5,134.8
201906,2019,6,134.6
201907,2019,7,135.1
201908,2019,8,135.6
201909,2019,9,136
201910,2019,10,135.3
201911,2019,11,136.4
201912,2019,12,137.1
202001,2020,1,137.8
202002,2020,2,136.2
202003,2020,3,69.5
202004,2020,4,14
202005,2020,5,16.7
202006,2020,6,22.3
202007,2020,7,28.5
202008,2020,8,35.3
202009,2020,9,43.7
202010,2020,10,41.7
202011,2020,11,49.3
202012,2020,12,49.2
202101,2021,1,53.6
202102,2021,2,57.4
202103,2021,3,53.2
202104,2021,4,60.3
202105,2021,5,67.2
