,name,mean,lowerbound,upperbound,median,starttime,endtime
0,Northern China: COVID-19 - No COVID,-0.07625556279272197,-0.1439469260524705,-0.02414988624225722,-0.07343515489517072,202001,202014
1,Northern China: COVID-19 - No COVID,-0.020863405747180905,-0.08920133390234226,0.015402948478952513,-0.014692205802711925,202049,202114
2,Southern China: COVID-19 - No COVID,-0.043135917586369366,-0.12064150915155301,0.014175323907225689,-0.03966273770799987,202001,202015
3,Southern China: COVID-19 - No COVID,-0.007313429107768235,-0.04822895125132486,0.016018167925567848,-0.00400572455756993,202045,202115
4,England: COVID-19 - No COVID,-0.10244180866657171,-0.13564582213222035,-0.07199490355052147,-0.10180760904356335,202001,202013
5,England: COVID-19 - No COVID,-0.01461813358568915,-0.05418081189175143,0.02016730577729316,-0.01368365697819416,202050,202113
6,U.S.: COVID-19 - No COVID,-0.029095130524917776,-0.08299899364863322,0.011039239983530562,-0.02645988248590489,202001,202015
7,U.S.: COVID-19 - No COVID,-0.012201605037617006,-0.06055871492194126,0.021696523039581066,-0.009345911285265605,202048,202115
8,Hubei: COVID-19 - No COVID,-0.11969623844082505,-0.25313970328377905,-0.043029174296179334,-0.1098599039328834,202001,202015
9,Northern China: mask - No npi,-0.12302717122539525,-0.17006810984108828,-0.08118321910431635,-0.12206441730044512,202001,202014
10,Northern China: mask - No npi,-0.1980466195805227,-0.2480015339460776,-0.15752964422030274,-0.19653326607262253,202049,202114
11,Southern China: mask - No npi,-0.11659643646029653,-0.16756329465455588,-0.06801845625541406,-0.11628137598316993,202001,202015
12,Southern China: mask - No npi,-0.16632334219327957,-0.2152777289896435,-0.1306891453860205,-0.16417648317182093,202045,202115
13,England: mask - No npi,9.607699251563856e-22,0.0,0.0,0.0,202001,202013
14,England: mask - No npi,-0.1328397598341947,-0.16649494298165166,-0.09680715668949169,-0.13319245183428585,202050,202113
15,U.S.: mask - No npi,-7.69600092023261e-06,-1.3618282402487933e-05,-1.5932173679216348e-06,-7.710502308548352e-06,202001,202015
16,U.S.: mask - No npi,-0.151835828925606,-0.184919417110596,-0.1188976249110499,-0.15154657090207024,202048,202115
17,Northern China: mobility - No npi,-0.05620816898367603,-0.09865791179459796,-0.020320825973157652,-0.05368131004199466,202001,202014
18,Northern China: mobility - No npi,-0.13992571987267513,-0.18927413968044685,-0.08003527479139282,-0.14188898228696195,202049,202114
19,Southern China: mobility - No npi,-0.031062016292531906,-0.07479420266217417,0.0019130587426024305,-0.028451117102174812,202001,202015
20,Southern China: mobility - No npi,-0.05166274734457263,-0.08952247305231381,-0.013843380182565201,-0.051854709866570155,202045,202115
21,England: mobility - No npi,-0.002463494487420016,-0.0055878609292149255,-0.0008009769264305436,-0.002279990511688966,202001,202013
22,England: mobility - No npi,-0.10381111734530259,-0.16589166536892133,-0.03917572812327014,-0.10390033072297847,202050,202113
23,U.S.: mobility - No npi,-0.00670311726964637,-0.014804507604620347,-0.0017165287118394688,-0.005816849671309425,202001,202015
24,U.S.: mobility - No npi,-0.09493268742797945,-0.18041051704434335,-0.027621639282570287,-0.08184415687904154,202048,202115
25,Northern China: npi - No npi,-0.11190109166514212,-0.16428884136657776,-0.06419893068082445,-0.11119668920386772,202001,202014
26,Northern China: npi - No npi,-0.2118072234135041,-0.267860386403629,-0.16736755952141438,-0.2100906931819429,202049,202114
27,Southern China: npi - No npi,-0.1023097627096512,-0.15609122728278893,-0.05041814822938897,-0.10203073942038093,202001,202015
28,Southern China: npi - No npi,-0.15975405285132924,-0.21147344853386763,-0.12235653726373355,-0.15744401109178666,202045,202115
29,England: npi - No npi,-0.013645156937016673,-0.01874479485451319,-0.008780587305172713,-0.01363844132211662,202001,202013
30,England: npi - No npi,-0.14606802378935518,-0.18206860152407675,-0.10624126966156636,-0.14684598970563895,202050,202113
31,U.S.: npi - No npi,-0.013379613662069852,-0.018500358563569873,-0.007655228614856517,-0.013491488946717933,202001,202015
32,U.S.: npi - No npi,-0.16244014124262277,-0.19777317501963887,-0.12816034665177523,-0.1623081446361978,202048,202115
33,Northern China: future mask - No npi,-0.16794424504780991,-0.22176257048263942,-0.1149433548605294,-0.16740633535558952,202149,202214
34,Southern China: future mask - No npi,-0.1594087066135583,-0.20558128439185488,-0.11782921544080568,-0.15852999048828634,202145,202215
35,England: future mask - No npi,-0.06966911787553395,-0.09540520258819822,-0.042325501402150745,-0.06995801641307035,202150,202213
36,U.S.: future mask - No npi,-0.09289252706259804,-0.12400005526502177,-0.061956679725243886,-0.09294304281755125,202148,202215
37,Northern China: future Inbound mobility,-0.07194782012767739,-0.10740229249221189,-0.038461760036210615,-0.0718406416189786,202149,202214
38,Southern China: future Inbound mobility,-0.031868362920359,-0.05353494328037047,-0.010112592940910985,-0.0317961066488369,202145,202215
39,England: future Inbound mobility,-0.037192931878597665,-0.05744119811305212,-0.015163515598428016,-0.037325330891746014,202150,202213
40,U.S.: future Inbound mobility,-0.04562883553302524,-0.07321752830696364,-0.019141888416522305,-0.0456254679784345,202148,202215
41,Northern China: future Domestic mobility,-0.03016704389232707,-0.11909752313351897,0.025968023990756452,-0.019639813446657165,202149,202214
42,Southern China: future Domestic mobility,-0.0473695384117008,-0.12909240452768972,0.041633514984312066,-0.04585097087157476,202145,202215
43,England: future Domestic mobility,-0.011722215766102917,-0.08947356313808083,0.0,0.0,202150,202213
44,U.S.: future Domestic mobility,-0.033144942171638755,-0.1414606108190532,0.0,0.0,202148,202215
45,Northern China: tau,-0.3496249115553663,-0.3890595716192618,-0.30986002525834944,-0.349546465225514,0,0
46,Northern China: exp(tau),0.7049524596561927,0.6776938974886175,0.7335496274580232,0.7050077627585074,0,0
47,Southern China: tau,-0.4341257155335654,-0.4885681157266347,-0.37884940789354166,-0.4344388405888251,0,0
48,Southern China: exp(tau),0.6478308079701649,0.6135042326152336,0.6846487075945028,0.6476279876683366,0,0
49,England: tau,-0.12030264101177048,-0.14687129433233614,-0.09385361578686337,-0.11990741195456289,0,0
50,England: exp(tau),0.8866520588319553,0.8634050953946764,0.9104160230200485,0.8870025587485519,0,0
51,U.S.: tau,-0.12974793188653722,-0.15934207373547604,-0.09858831018101366,-0.1296778129952641,0,0
52,U.S.: exp(tau),0.8783167986779782,0.8527046212190272,0.9061156698420869,0.8783783874373305,0,0
53,Northern China: intercept,0.25888882637238303,0.0030387167901659655,0.5084361128653636,0.2569974576960721,0,0
54,Northern China: exp(intercept),1.2954897725243477,1.0030433383700699,1.6626889028466325,1.2930418394498275,0,0
55,Southern China: intercept,0.40383847495358843,0.11628391786297351,0.7115638778174982,0.4014101545154909,0,0
56,Southern China: exp(intercept),1.4975620336441466,1.123314755987668,2.037174661034515,1.4939298849458085,0,0
57,England: intercept,-2.165198653239353,-2.5358316370147587,-1.7915875723521297,-2.1683580690470587,0,0
58,England: exp(intercept),0.11472714141510015,0.079195829687041,0.16669531860850664,0.11436524266629092,0,0
59,U.S.: intercept,-1.2252087825235916,-1.741480066374995,-0.714924858071692,-1.2225732531802038,0,0
60,U.S.: exp(intercept),0.2936963752515592,0.17526081092629228,0.48922887201602455,0.29447144157296273,0,0
61,Northern China: international Volume,0.19363560286348244,0.2511397314472226,0.15507678466314767,,202001,202014
62,Northern China: international Volume,0.20847277005502413,0.2994546288068921,0.1545147325764752,,202049,202114
63,Southern China: international Volume,0.07389532396943271,0.09836344656725042,0.05862960012593192,,202001,202015
64,Southern China: international Volume,0.09557019006338845,0.18654290349686808,0.06188169418978078,,202045,202115
65,England: international Volume,0.8547364882536211,0.9148273734290985,0.801274216980053,,202001,202013
66,England: international Volume,0.4478062615469454,0.7147268194509808,0.3247087942809688,,202050,202113
67,U.S.: international Volume,0.15710357617710355,0.16161518214007914,0.15325019420678007,,202001,202015
68,U.S.: international Volume,0.20102909060287383,0.29897431395203367,0.14950149653660197,,202048,202115
69,Northern China: int mobility change alone - no npi,-0.1349113385443792,-0.1844575608194605,-0.07810721182831594,-0.13620697542951476,202049,202114
70,Northern China: dom mobility change alone - no npi,-0.012744686598292986,-0.052219410877282636,0.011218596270601818,-0.008208748031461294,202049,202114
71,Southern China: int mobility change alone - no npi,-0.0530172185526406,-0.0896425008684198,-0.0173447331602453,-0.05284777010449759,202045,202115
72,Southern China: dom mobility change alone - no npi,0.0029608499835699106,-0.005981565335890106,0.018337367441683752,0.0009121524029747634,202045,202115
73,England: int mobility change alone - no npi,-0.09648142749163022,-0.14717852341452908,-0.03973564201647709,-0.09742155753302925,202050,202113
74,England: dom mobility change alone - no npi,-0.010980437375767534,-0.08612134680108334,0.0,0.0,202050,202113
75,U.S.: int mobility change alone - no npi,-0.06729293613218576,-0.10079257192961033,-0.029112908157636033,-0.06812423411884833,202048,202115
76,U.S.: dom mobility change alone - no npi,-0.04315044302412989,-0.17374408180776588,0.0,0.0,202048,202115
77,Northern China: int mobility change alone - no npi,-0.04337727413609116,-0.061905994894534286,-0.022986333313500716,-0.04372440109601763,202001,202014
78,Northern China: dom mobility change alone - no npi,-0.016442886947797854,-0.0644983753828696,0.014365225709164186,-0.01098525456649535,202001,202014
79,Southern China: int mobility change alone - no npi,-0.015883395839395537,-0.02770875244352727,-0.004179257108276559,-0.01598163885507109,202001,202015
80,Southern China: dom mobility change alone - no npi,-0.019430975392591445,-0.06574226168950226,0.014939533400970728,-0.016496004207289635,202001,202015
81,England: int mobility change alone - no npi,-0.002073101514758367,-0.003328513961940988,-0.0008028540069662285,-0.002075973587981309,202001,202013
82,England: dom mobility change alone - no npi,-0.00039039297266164896,-0.0030828247682683795,0.0,0.0,202001,202013
83,U.S.: int mobility change alone - no npi,-0.004765005349366283,-0.0076257704568085585,-0.0017814514225774584,-0.004790241666736929,202001,202015
84,U.S.: dom mobility change alone - no npi,-0.0027544666768674233,-0.012888773682465281,0.0,0.0,202001,202015
85,Northern China: int/all percentage,0.8040618919368436,0.4164222611124733,1.0,0.8306233020810913,202001,202014
86,Northern China: int/all percentage,0.959806121643001,0.804612372179208,1.0,0.9862753022933511,202049,202114
