,delta,end,intercept,maxL,mu,r2,region,start,tau
0,0.0,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
1,0.1,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
2,0.2,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
3,0.3,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
4,0.4,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
5,0.5,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
6,0.6,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
7,0.7,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
8,0.8,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
9,0.9,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
10,1.0,202128.0,0.4119651745059585,9.0,0.0,0.6006841678948828,cnlog,202004.0,-0.3842434113066061
11,0.0,202128.0,-0.041488647524531075,24.0,0.01,0.5378868208998836,cnlog,202004.0,-0.14225706603312338
12,0.1,202128.0,-0.04183837430726056,24.0,0.01,0.5379031342676586,cnlog,202004.0,-0.14222496935535767
13,0.2,202128.0,-0.0436614738852561,24.0,0.01,0.5379988343387405,cnlog,202004.0,-0.1420858603606251
14,0.3,202128.0,-0.04812862296569742,24.0,0.01,0.5382264831824599,cnlog,202004.0,-0.1417792387938944
15,0.4,202128.0,-0.05685298093061375,24.0,0.01,0.5386063293257052,cnlog,202004.0,-0.14121833708443055
16,0.5,202128.0,-0.07335907803385888,24.0,0.01,0.5390595220341852,cnlog,202004.0,-0.14020864451380513
