,delta,end,intercept,maxL,mu,r2,region,start,tau
0,0.0,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
1,0.1,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
2,0.2,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
3,0.3,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
4,0.4,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
5,0.5,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
6,0.6,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
7,0.7,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
8,0.8,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
9,0.9,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
10,1.0,202128.0,0.7684153386066028,6.0,0.0,0.8615441510528561,cslog,202004.0,-0.6710380092350693
11,0.0,202128.0,0.05362235189680842,17.0,0.01,0.7952469923025545,cslog,202004.0,-0.2167101994038492
12,0.1,202128.0,0.05393334694818197,17.0,0.01,0.7950380957848515,cslog,202004.0,-0.21670147448169297
13,0.2,202128.0,0.054365182792325495,17.0,0.01,0.7944611352535085,cslog,202004.0,-0.21663308703808726
14,0.3,202128.0,0.05352752478863332,17.0,0.01,0.7936170447924827,cslog,202004.0,-0.21640678879485836
15,0.4,202128.0,0.04926750683633818,17.0,0.01,0.792568730209444,cslog,202004.0,-0.21586397751313768
16,0.5,202128.0,0.03731670623253258,17.0,0.01,0.7912476994336505,cslog,202004.0,-0.21467788123570533
17,0.6,202128.0,0.011287692884482947,17.0,0.01,0.7891941297512951,cslog,202004.0,-0.21239104440315065
18,0.7,202128.0,0.14842602214031198,16.0,0.01,0.7900866015309926,cslog,202004.0,-0.23337392566975343
